ID,Text,Star
3898,App is not getting update and it is not getting open too and saying u r using very old version plz update but it is not updating...,1
3901,Very coming in real status. Thank you,1
3905,I want to download greana free fire but that not comming in file,1
3925,Your download manager is garbage. Pls fix 😠 next update,1
3928,Okk kind but bad then brave,1
3934,Unable to update won't load crashing at times unresponsive was a good reliable app now it's unreliable,1
3958,Sir my Chrome does not update please give me solution,1
4113,Good,1
4092,Says update but wont this whole thing is like its not even google im lost,1
4143,Good,1
5185,Z be l nook look t mm vmll and as aaàafjio cft KK Ann t z g,1
5188,Been tripping all week. It won't update. Horrible horrible problems. Newer version won't update,1
5193,Update not proceeds due some technical issues Let resolve it,1
5217,It is the best app for browsing,1
5229,It crashes every time I search something honestly its like each update gets worse,1
5230,"Google team, Chrome is not getting updated from Google Play Store also. What to do.",1
5231,"I Depend on CHROME to GET it Right ‼️💥‼️ Moreso, TO KEEP IT RIGHT!! NEW msg reflects last update 12•12•2020 and still reflects Critical Update (... VULNERABILITY that May allow access to critical information, still trying... AGAIN! AGAIN!!) ‼️💥‼️ ALERT ‼️💥‼️ UPDATE AGAIN 12•21•2020. (same schidt, different day!! FIX THIS!!) Cache CLEARED, History CLEARED, Duplicates DELETED!!! C'MON GOOGLE 🤣🤣🤣 ELECTION INTERFERENCE AT IT'S FINEST (NOT)🤣🤪🤣🤪",1
5237,"Dark mode is acting up and changing screen light to super bright on it's own , super annoyed",1
5249,"Latest update turns my screen pink on some web pages I keep uninstalling the latest updates as it seems to be the cause. Please Google sort it out, also does it on smart assistant on my oppo Reno 2",1
5251,Ok,1
5842,Best,1
5844,Good,1
5847,Nice,1
5854,Chorme is best but without my permission it opening some web sites . When I'm playing the games like its opening some websites and when i 'm using whatsapp its opening.when I'm power on its showing again and again.So please fix its by giving some update,1
5913,I cant update app. Please help or fix. Wish i couod give no stars but not an option,1
5923,Good,1
5926,I am not even able to update chrome..... Solve this plz,1
8531,Good,1
8561,This app was using all my data for the month in a week. Changed to a different browser that uses way less data to view web pages. Now I don't have to upgrade my cell plan. Extra bonus the pages load faster on my new browser,1
8576,"I have samsung galaxy A71, Android 10 version mobile. New update for google chrome is avaible but unable to update new version of chrome. Pl. solve issue.",1
8584,W loo tobe exx so so xws to ewd to eve and e to get the order soowzss e u o to ed ok let osdeo to get ddos the above we🙂😃🤩,1
8598,Mare mobile main Google update q nhi ho raha hai plz rep to me.,1
8601,No good,1
8607,It's not update facing problem.,1
12585,The top bar sometimes doesn't work and I'm unable to click on any tabs.,1
12589,"If you value freedom and liberty, switch to duckduckgo. Google uses its enormous power to destroy western culture and philosophy and it sticks its middle finger up at your privacy !",1
12599,IT IS GOOD FOR GAMING,1
12621,"I face so many problems from my Chrome application. It is not working as well, so please solve my Chrome mobile application as soon as possible. Thanks",1
12627,"Recently running incredibly slow despite only one or two active tabs. It's occasionally been claiming that I am offline despite other internet connected apps working fine. Updates close your incognito tabs, which is rather annoying. *Upon changing to a 1 star review suddenly now Google cares, it seems.",1
20387,Please collect information on yourselves and let me live and do as I wish without you feeling the need to know my every thought or action or reaction.. in other words don't be evil... Just do you boo,1
20414,Doing very well only about a week it started malfunctioning like opening a site and logging in to my account on the site would be impossible!; I also tried updating the app it started with downloading the update up to 100% and started all over again until my internet plan was exhausted. pls fix this asap 🙏,1
20438,"Tabs don't swap or close on this latest version, can't even kill the app, just comes back with the same tabs open. Need a drop down menu close tab and a close all tabs menu option.",1
20439,This file sharing for third person,1
24318,"The update won't download, and from the other reviews it's probably a good thing!",1
24323,Refuse to update And when I want to download something sends me to play store,1
24373,Stuck like happening when I'm going to opening this not open at all.. this now happening from few days.,1
24391,Good,1
31573,"Hate it, I have been using the Google search widget for years, I click the microphone and talk, its been good just a beep letting me know its ready, now I click the microphone and I hear ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" I DO NOT NEED TO BE ASKED ANYTHING.... ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP""",1
31574,Good serving,1
31589,Fresh,1
31602,Excellent,1
31658,My chrome app not update in my phone.why ? Please help,1
36583,why is there no addon support on mobile. chrome freezes and crashes more then any of my apps.,1
36586,Do not like many issues it was ok before but recentlyit just wont work properly I,1
36610,Not able to update. There is certainly some issue with crome,1
36634,Cannot update fails everytime even after clearing cache,1
40301,Cool app,1
40376,Good on searching not on updating and installing,1
